stockID,symbol,status,samples,bestModel,bestMode,accuracy,actionPrecision,actionRecall,actionRate,flatRate,directionAccuracyOnRealMoves,gateActionProb,gateFlatEdge,gateDirectionEdge
1,KONYA.IS,ok,2039,random_forest_balanced,direct,37.45,30.09,37.23,68.43,31.57,37.23,,,
2,THYAO.IS,ok,2039,random_forest_balanced,gated,36.67,23.81,21.07,45.29,54.71,21.07,0.4,0.0,0.15
3,TUPRS.IS,ok,2039,gradient_boosting,gated,47.45,43.24,11.76,14.51,85.49,11.76,0.5,-0.1,0.0
4,EREGL.IS,ok,2044,gradient_boosting,direct,43.64,39.15,29.49,45.99,54.01,29.49,,,
5,SISE.IS,ok,2039,logistic_balanced,gated,44.71,37.7,24.21,35.88,64.12,24.21,0.4,0.15,0.0
6,ASELS.IS,ok,2043,logistic_balanced,gated,49.9,46.25,39.93,46.97,53.03,39.93,0.4,0.0,0.0
7,FROTO.IS,ok,2044,logistic_balanced,gated,42.47,46.3,16.61,21.14,78.86,16.61,0.45,-0.1,0.05
8,KRDMD.IS,ok,2043,random_forest_balanced,gated,36.4,33.0,10.34,19.57,80.43,10.34,0.4,0.1,0.15
9,DOFER.IS,ok,485,logistic_balanced,gated,57.38,40.74,21.57,22.13,77.87,21.57,0.7,-0.1,0.0
10,KCAER.IS,ok,760,gradient_boosting,gated,28.95,26.96,27.93,60.53,39.47,27.93,0.7,-0.1,0.0
11,ALARK.IS,ok,2043,gradient_boosting,gated,42.07,41.58,27.91,39.53,60.47,27.91,0.4,0.0,0.0
12,ECZYT.IS,ok,2043,gradient_boosting,direct,44.42,32.7,18.77,31.12,68.88,18.77,,,
13,ALTNY.IS,ok,368,logistic_balanced,gated,52.17,57.14,16.33,15.22,84.78,16.33,0.7,-0.1,0.0
14,SDTTR.IS,ok,642,random_forest_balanced,gated,50.93,16.67,2.7,7.45,92.55,2.7,0.55,-0.1,0.0
15,ONRYT.IS,ok,360,gradient_boosting,gated,54.44,57.45,51.92,52.22,47.78,51.92,0.45,-0.1,0.0
16,OTKAR.IS,ok,2042,logistic_balanced,gated,37.57,32.46,11.56,22.31,77.69,11.56,0.4,0.1,0.1
17,KCHOL.IS,ok,2043,random_forest_balanced,gated,43.25,43.14,7.41,9.98,90.02,7.41,0.45,-0.1,0.0
18,TOASO.IS,ok,2043,logistic_balanced,gated,44.03,39.36,32.78,48.73,51.27,32.78,0.4,-0.1,0.0
19,GARAN.IS,ok,2043,gradient_boosting,direct,48.92,40.0,17.99,24.46,75.54,17.99,,,
20,XU100.IS,ok,2021,gradient_boosting,gated,42.29,43.22,37.94,53.95,46.05,37.94,0.4,-0.1,0.0
21,AKBNK.IS,ok,2042,logistic_balanced,gated,42.07,44.0,25.33,34.25,65.75,25.33,0.4,0.05,0.05
22,NVDA,ok,2013,logistic_balanced,gated,43.06,32.92,20.38,31.94,68.06,20.38,0.4,0.1,0.0
23,INTC,ok,2017,random_forest_balanced,direct,48.51,41.82,17.62,21.78,78.22,17.62,,,
24,ENKAI.IS,ok,2041,gradient_boosting,gated,45.01,36.71,10.43,15.46,84.54,10.43,0.4,-0.1,0.1
25,KOZAY,ok,289,logistic_balanced,gated,89.04,0.0,0.0,10.96,89.04,0.0,0.7,-0.1,0.0
26,MIATK.IS,ok,879,gradient_boosting,gated,44.55,43.55,21.95,28.18,71.82,21.95,0.65,-0.1,0.0
27,TABGD.IS,ok,478,random_forest_balanced,gated,50.0,34.29,20.34,29.17,70.83,20.34,0.4,0.15,0.0
28,REEDR.IS,ok,499,random_forest_balanced,gated,54.4,47.37,15.52,15.2,84.8,15.52,0.5,-0.1,0.0
29,BIMAS.IS,ok,2043,gradient_boosting,gated,47.75,41.38,4.53,5.68,94.32,4.53,0.65,-0.1,0.0
30,ASTOR.IS,ok,634,logistic_balanced,gated,44.03,42.31,43.14,65.41,34.59,43.14,0.4,0.0,0.0
31,SASA.IS,ok,1963,logistic_balanced,gated,39.51,28.57,26.56,48.47,51.53,26.56,0.4,0.2,0.05
32,KONTR.IS,ok,1109,logistic_balanced,gated,48.56,47.48,39.52,50.0,50.0,39.52,0.4,0.15,0.0
33,ISDMR.IS,ok,2040,gradient_boosting,gated,49.41,41.33,31.15,38.43,61.57,31.15,0.4,0.0,0.0
34,PETKM.IS,ok,2040,gradient_boosting,gated,42.55,36.36,28.99,43.14,56.86,28.99,0.45,0.0,0.0
35,MAVI.IS,ok,1819,gradient_boosting,gated,38.68,31.23,34.23,62.64,37.36,34.23,0.4,-0.1,0.0
36,EGEEN.IS,ok,2039,random_forest_balanced,gated,50.59,43.48,7.78,9.02,90.98,7.78,0.4,0.1,0.15
37,IZENR.IS,ok,528,logistic_balanced,direct,39.39,33.33,22.5,40.91,59.09,22.5,,,
38,OBAMS.IS,ok,405,gradient_boosting,direct,26.47,27.69,28.12,63.73,36.27,28.12,,,
39,ISCTR.IS,ok,2039,gradient_boosting,gated,39.8,54.05,6.39,7.25,92.75,6.39,0.5,-0.1,0.0
