stockID,symbol,status,samples,testSamples,moveModel,directionModel,moveThreshold,directionThreshold,accuracy,actionPrecision,actionRecall,actionRate,flatRate,directionAccuracyOnRealMoves,movePrecision,moveRecall,movePositiveRate,validationActionPrecision,selectionGap
17,KCHOL.IS,ok,1084,271.0,gradient_boosting,gradient_boosting,0.7,0.7,41.7,36.84,4.4,7.01,92.99,4.4,61.9,16.35,15.5,100.0,-63.16
18,TOASO.IS,ok,1084,271.0,gradient_boosting,random_forest_balanced,0.75,0.6,39.48,25.0,3.18,7.38,92.62,3.18,45.45,12.74,16.24,100.0,-75.0
19,GARAN.IS,ok,1084,271.0,random_forest_balanced,random_forest_balanced,0.5,0.65,51.29,14.29,1.64,5.17,94.83,1.64,46.56,50.0,48.34,100.0,-85.71
20,XU100.IS,ok,1076,269.0,random_forest_balanced,logistic_balanced,0.75,0.75,42.01,33.33,1.28,2.23,97.77,1.28,66.67,3.85,3.35,100.0,-66.67
21,AKBNK.IS,ok,1084,271.0,logistic_balanced,logistic_balanced,0.65,0.75,41.7,25.0,0.64,1.48,98.52,0.64,69.44,15.92,13.28,100.0,-75.0
22,NVDA,ok,1057,264.0,random_forest_balanced,random_forest_balanced,0.55,0.65,43.18,22.22,1.34,3.41,96.59,1.34,71.23,34.9,27.65,100.0,-77.78
23,INTC,ok,1058,264.0,logistic_balanced,logistic_balanced,0.65,0.5,46.21,32.93,21.09,31.06,68.94,21.09,50.0,32.03,31.06,37.04,-4.11
24,ENKAI.IS,ok,1083,270.0,logistic_balanced,random_forest_balanced,0.35,0.65,47.78,20.0,3.73,9.26,90.74,3.73,50.45,83.58,82.22,100.0,-80.0
25,KOZAY,skipped,87,,,,,,,,,,,,,,,,
26,MIATK.IS,ok,469,117.0,random_forest_balanced,logistic_balanced,0.7,0.55,55.56,0.0,0.0,2.56,97.44,0.0,33.33,2.0,2.56,100.0,-100.0
27,TABGD.IS,ok,270,67.0,random_forest_balanced,random_forest_balanced,0.55,0.55,40.3,52.94,21.95,25.37,74.63,21.95,55.56,24.39,26.87,35.71,17.23
28,REEDR.IS,ok,289,72.0,random_forest_balanced,random_forest_balanced,0.7,0.7,33.33,0.0,0.0,4.17,95.83,0.0,28.57,4.44,9.72,100.0,-100.0
29,BIMAS.IS,ok,1084,271.0,gradient_boosting,random_forest_balanced,0.6,0.65,45.39,27.27,2.05,4.06,95.94,2.05,53.66,15.07,15.13,66.67,-39.4
30,ASTOR.IS,ok,337,84.0,random_forest_balanced,random_forest_balanced,0.65,0.55,35.71,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,-50.0
31,SASA.IS,ok,1002,250.0,random_forest_balanced,random_forest_balanced,0.65,0.7,50.8,11.11,0.85,3.6,96.4,0.85,40.0,10.17,12.0,100.0,-88.89
32,KONTR.IS,ok,604,151.0,gradient_boosting,gradient_boosting,0.75,0.75,39.07,27.27,10.71,21.85,78.15,10.71,51.72,35.71,38.41,23.81,3.46
33,ISDMR.IS,ok,1083,270.0,random_forest_balanced,logistic_balanced,0.7,0.5,46.67,45.0,6.16,7.41,92.59,6.16,65.0,8.9,7.41,100.0,-55.0
34,PETKM.IS,ok,1083,270.0,logistic_balanced,random_forest_balanced,0.4,0.7,44.07,75.0,1.95,1.48,98.52,1.95,58.38,65.58,64.07,100.0,-25.0
35,MAVI.IS,ok,976,244.0,logistic_balanced,logistic_balanced,0.7,0.75,50.0,57.89,8.53,7.79,92.21,8.53,72.88,33.33,24.18,100.0,-42.11
36,EGEEN.IS,ok,1083,270.0,gradient_boosting,random_forest_balanced,0.7,0.65,51.11,0.0,0.0,1.85,98.15,0.0,35.42,13.28,17.78,100.0,-100.0
37,IZENR.IS,ok,314,78.0,logistic_balanced,random_forest_balanced,0.75,0.5,47.44,16.67,5.56,15.38,84.62,5.56,41.67,13.89,15.38,100.0,-83.33
38,OBAMS.IS,skipped,222,,,,,,,,,,,,,,,,
39,ISCTR.IS,ok,1083,270.0,random_forest_balanced,logistic_balanced,0.55,0.65,41.85,35.9,9.03,14.44,85.56,9.03,56.48,39.35,40.0,66.67,-30.77
