stockID,symbol,status,samples,testSamples,moveModel,directionModel,moveThreshold,directionThreshold,accuracy,actionPrecision,actionRecall,actionRate,flatRate,directionAccuracyOnRealMoves,movePrecision,moveRecall,movePositiveRate,validationActionPrecision,selectionGap
1,KONYA.IS,ok,1083,270.0,logistic_balanced,random_forest_balanced,0.7,0.6,49.26,0.0,0.0,1.85,98.15,0.0,44.44,3.01,3.33,100.0,-100.0
2,THYAO.IS,ok,1083,270.0,logistic_balanced,random_forest_balanced,0.6,0.7,48.52,0.0,0.0,0.0,100.0,0.0,59.42,29.5,25.56,100.0,-100.0
3,TUPRS.IS,ok,1083,270.0,gradient_boosting,random_forest_balanced,0.65,0.65,44.07,40.0,2.61,3.7,96.3,2.61,67.39,20.26,17.04,75.0,-35.0
4,EREGL.IS,ok,1085,271.0,random_forest_balanced,random_forest_balanced,0.6,0.55,47.6,46.51,13.33,15.87,84.13,13.33,67.65,30.67,25.09,100.0,-53.49
5,SISE.IS,ok,1083,270.0,logistic_balanced,random_forest_balanced,0.75,0.65,47.78,33.33,0.71,1.11,98.89,0.71,46.77,20.71,22.96,100.0,-66.67
6,ASELS.IS,ok,1083,270.0,random_forest_balanced,random_forest_balanced,0.7,0.7,42.22,40.0,2.58,3.7,96.3,2.58,61.54,10.32,9.63,100.0,-60.0
7,FROTO.IS,ok,1085,271.0,logistic_balanced,logistic_balanced,0.75,0.5,43.54,44.0,7.1,9.23,90.77,7.1,64.0,10.32,9.23,100.0,-56.0
8,KRDMD.IS,ok,1084,271.0,random_forest_balanced,gradient_boosting,0.65,0.6,38.38,62.5,8.43,8.86,91.14,8.43,75.76,14.04,12.18,100.0,-37.5
9,DOFER.IS,ok,277,69.0,random_forest_balanced,random_forest_balanced,0.6,0.75,44.93,100.0,2.56,1.45,98.55,2.56,44.44,10.26,13.04,66.67,33.33
10,KCAER.IS,ok,421,105.0,logistic_balanced,gradient_boosting,0.35,0.75,36.19,28.89,22.41,42.86,57.14,22.41,53.85,84.48,86.67,82.35,-53.46
11,ALARK.IS,ok,1084,271.0,logistic_balanced,logistic_balanced,0.7,0.7,42.44,21.43,2.01,5.17,94.83,2.01,51.35,12.75,13.65,100.0,-78.57
12,ECZYT.IS,ok,1084,271.0,logistic_balanced,random_forest_balanced,0.75,0.6,52.03,0.0,0.0,0.37,99.63,0.0,33.33,0.78,1.11,100.0,-100.0
13,ALTNY.IS,skipped,215,,,,,,,,,,,,,,,,
14,SDTTR.IS,ok,341,85.0,random_forest_balanced,gradient_boosting,0.7,0.5,43.53,66.67,4.0,3.53,96.47,4.0,100.0,6.0,3.53,50.0,16.67
15,ONRYT.IS,skipped,212,,,,,,,,,,,,,,,,
16,OTKAR.IS,ok,1084,271.0,logistic_balanced,logistic_balanced,0.75,0.5,45.76,32.0,5.41,9.23,90.77,5.41,72.0,12.16,9.23,100.0,-68.0
