stockID,symbol,status,samples,bestModel,accuracy,actionPrecision,actionRecall,actionRate,flatRate,directionAccuracyOnRealMoves
1,KONYA.IS,ok,2039,random_forest_balanced,37.45,30.09,37.23,68.43,31.57,37.23
2,THYAO.IS,ok,2039,random_forest_balanced,31.96,26.44,45.59,88.24,11.76,45.59
3,TUPRS.IS,ok,2039,gradient_boosting,42.55,32.32,23.53,38.82,61.18,23.53
4,EREGL.IS,ok,2044,gradient_boosting,43.64,39.15,29.49,45.99,54.01,29.49
5,SISE.IS,ok,2039,gradient_boosting,43.33,36.67,23.16,35.29,64.71,23.16
6,ASELS.IS,ok,2043,logistic_balanced,47.75,43.93,50.72,62.82,37.18,50.72
7,FROTO.IS,ok,2044,logistic_balanced,45.6,42.04,46.51,65.17,34.83,46.51
8,KRDMD.IS,ok,2043,random_forest_balanced,34.25,34.8,44.51,79.84,20.16,44.51
9,DOFER.IS,ok,485,logistic_balanced,45.9,30.49,49.02,67.21,32.79,49.02
10,KCAER.IS,ok,760,gradient_boosting,23.68,20.99,30.63,85.26,14.74,30.63
11,ALARK.IS,ok,2043,gradient_boosting,40.7,39.41,35.22,52.64,47.36,35.22
12,ECZYT.IS,ok,2043,gradient_boosting,44.42,32.7,18.77,31.12,68.88,18.77
13,ALTNY.IS,ok,368,random_forest_balanced,41.3,31.03,36.73,63.04,36.96,36.73
14,SDTTR.IS,ok,642,logistic_balanced,26.71,12.04,17.57,67.08,32.92,17.57
15,ONRYT.IS,ok,360,gradient_boosting,52.22,53.85,53.85,57.78,42.22,53.85
16,OTKAR.IS,ok,2042,logistic_balanced,35.23,32.22,36.25,70.45,29.55,36.25
17,KCHOL.IS,ok,2043,gradient_boosting,41.1,36.59,20.2,32.09,67.91,20.2
18,TOASO.IS,ok,2043,gradient_boosting,38.75,35.0,21.07,35.23,64.77,21.07
19,GARAN.IS,ok,2043,gradient_boosting,48.92,40.0,17.99,24.46,75.54,17.99
20,XU100.IS,ok,2021,gradient_boosting,40.51,40.88,38.91,58.5,41.5,38.91
21,AKBNK.IS,ok,2042,gradient_boosting,41.49,40.8,16.78,24.46,75.54,16.78
22,NVDA,ok,2013,gradient_boosting,41.07,32.11,30.38,48.81,51.19,30.38
23,INTC,ok,2017,random_forest_balanced,48.51,41.82,17.62,21.78,78.22,17.62
24,ENKAI.IS,ok,2041,gradient_boosting,44.42,33.33,8.99,14.68,85.32,8.99
25,KOZAY,ok,289,random_forest_balanced,78.08,0.0,0.0,21.92,78.08,0.0
26,MIATK.IS,ok,879,gradient_boosting,40.45,36.99,43.9,66.36,33.64,43.9
27,TABGD.IS,ok,478,gradient_boosting,45.0,32.31,35.59,54.17,45.83,35.59
28,REEDR.IS,ok,499,logistic_balanced,48.0,41.46,58.62,65.6,34.4,58.62
29,BIMAS.IS,ok,2043,random_forest_balanced,45.79,38.43,36.98,49.9,50.1,36.98
30,ASTOR.IS,ok,634,random_forest_balanced,47.8,45.04,57.84,82.39,17.61,57.84
31,SASA.IS,ok,1963,logistic_balanced,29.94,27.67,46.48,87.58,12.42,46.48
32,KONTR.IS,ok,1109,logistic_balanced,46.76,43.5,46.11,63.67,36.33,46.11
33,ISDMR.IS,ok,2040,gradient_boosting,48.43,39.81,33.08,42.35,57.65,33.08
34,PETKM.IS,ok,2040,logistic_balanced,40.39,32.36,40.22,67.25,32.75,40.22
35,MAVI.IS,ok,1819,gradient_boosting,37.14,30.23,35.0,66.15,33.85,35.0
36,EGEEN.IS,ok,2039,random_forest_balanced,49.41,36.95,29.18,39.8,60.2,29.18
37,IZENR.IS,ok,528,logistic_balanced,39.39,33.33,22.5,40.91,59.09,22.5
38,OBAMS.IS,ok,405,gradient_boosting,26.47,27.69,28.12,63.73,36.27,28.12
39,ISCTR.IS,ok,2039,gradient_boosting,37.25,33.96,11.5,20.78,79.22,11.5
